root@Comp3134-Winter2023:~/wk3# tcpdump -i eth0 dst 157.49.197.53
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:07.033499 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 13012:13048, ack 1, win 501, options [nop,nop,TS val 3595110603 ecr 3464237268], length 36
19:16:07.033548 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 13048:13260, ack 1, win 501, options [nop,nop,TS val 3595110603 ecr 3464237268], length 212
19:16:07.033609 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 13260:13296, ack 1, win 501, options [nop,nop,TS val 3595110603 ecr 3464237268], length 36
19:16:07.243973 IP Comp3134-Winter2023.ssh > 157.49.197.53.54364: Flags [.], ack 61, win 4066, options [nop,nop,TS val 3595110813 ecr 3464237477], length 0
19:16:07.246264 IP Comp3134-Winter2023.ssh > 157.49.197.53.54364: Flags [P.], seq 44:104, ack 61, win 4066, options [nop,nop,TS val 3595110816 ecr 3464237477], length 60
19:16:07.450945 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 13296:16012, ack 1, win 501, options [nop,nop,TS val 3595111020 ecr 3464237678], length 2716
19:16:07.450975 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 16012:17736, ack 1, win 501, options [nop,nop,TS val 3595111020 ecr 3464237678], length 1724
19:16:07.451189 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 17736:17948, ack 1, win 501, options [nop,nop,TS val 3595111021 ecr 3464237678], length 212
19:16:07.451266 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 17948:17984, ack 1, win 501, options [nop,nop,TS val 3595111021 ecr 3464237678], length 36
19:16:07.451293 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 17984:18196, ack 1, win 501, options [nop,nop,TS val 3595111021 ecr 3464237678], length 212
19:16:07.451367 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 18196:18232, ack 1, win 501, options [nop,nop,TS val 3595111021 ecr 3464237678], length 36
